"Device Name","Device Label","Device ID","controllerType","deviceNetworkId","lastActivityAt","roomName","typeName","application","aqaraModel","baseUrl","deviceId","deviceIP","devicePort","devIp","driverVersion","feature","firmwareMT","gradOnOff","hasLed","inClusters","isEm","lastRunningMode","ledVer","manufacturer","model","outClusters","powerCluster","protocol","softwareBuild","tpLinkType","tuyaVersion","type","version"
"Bedroom Third Reality Motion Sensor","Bedroom Third Reality Motion Sensor","55","ZGB","1FD9","2026-07-18 18:48:00+0000","Bedroom","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Bedroom Third Reality Temp/Humidity Sensor","Bedroom Third Reality Temp/Humidity Sensor","625","ZGB","37FF","2026-07-18 23:52:00+0000","Bedroom","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Bedroom Third Reality Temp/Humidity Sensor w/Display","Bedroom Third Reality Temp/Humidity Sensor w/Display","498","ZGB","BAB7","2026-07-18 23:27:11+0000","Bedroom","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Dining Room Echo Dot (Gen 3)","Dining Room Echo Dot (Gen 3)","248","","22|echoSpeaks|G090VC0783960BL4","2026-07-18 21:23:06+0000","Dining Room","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dining Room Light Dimming Switch","Dining Room Light Dimming Switch","576","","8C902D204456","2026-07-18 11:05:02+0000","Dining Room","TpLink Dimmer","","","http://192.168.1.56:80/app","","","","192.168.1.56","","","","true","true","","false","","3","","","","","KLAP","","SMART.KASASWITCH","","Dimmer","2.4.2a"
"Dining Room Third Reality Entry Motion Sensor","Dining Room Third Reality Entry Motion Sensor","48","ZGB","03D0","2026-07-18 21:24:49+0000","Dining Room","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Dining Room Third Reality Temp/Humidity Sensor","Dining Room Third Reality Temp/Humidity Sensor","626","ZGB","9E4F","2026-07-18 23:50:23+0000","Dining Room","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Dundee Home Hub - Hubitat C7","Dundee Home Hub - Hubitat C7","146","","f5c2feb7-16c7-4bf3-8f4f-4a74e477ba18","2026-07-18 23:52:31+0000","Office","Hub Information Driver v3","","","","","","","","3.1.27","","","","","","","","","","","","","","","","","",""
"Entryway Aqara P1 Motion Sensor","Entryway Aqara P1 Motion Sensor","517","ZGB","038A","2026-07-18 23:29:17+0000","Entryway","Aqara P1 Motion Sensor","","","","","","","","","","","","","0000,FFFF,0406,0400,0500,0001,0003","","","","","lumi.sensor_motion.aq2 ","0000,0019","","","","","","",""
"Entryway Jasco Light Switch","Entryway Jasco Light Switch","394","ZGB","DA5C","2026-07-18 11:05:02+0000","Entryway","GE Zigbee Switch","12","","","","","","","","","1124-004E-00000005","","","","","","","Jasco Products","43078","","","","00000005","","","",""
"EverywhereTwo (WHA)","EverywhereTwo (WHA)","597","","22|echoSpeaks|abf36a9da0114483b860af9748b4b10b","2026-07-18 21:23:06+0000","Virtual","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"File Manager+","File Manager+","593","","FileManager+Device","2026-04-11 15:18:49+0000","Virtual","File Manager+ Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Front Door Tuya Contact Sensor","Front Door Tuya Contact Sensor","105","ZGB","C069","2026-07-18 23:33:19+0000","Entryway","Tuya Zigbee Contact Sensor++ w/ healthStatus","4C","","","","","","","","","","","","","","","","TUYATEC-r9hgssol","RH3001","","","","","","","",""
"Front Porch and Driveway Light Switch","Front Porch and Driveway Light Switch","561","","D844892DF191","2026-07-18 12:41:00+0000","Front Porch","Kasa Plug Switch","","","","8006DB077020FCC37EF2566DDB06B28D22C8E7D6","192.168.1.21","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Garage Echo Dot (Gen 3)","Garage Echo Dot (Gen 3)","25","","22|echoSpeaks|G8M0XG111477089T","2026-07-18 21:23:05+0000","Garage","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Garage Overhead Light Switch","Garage Overhead Light Switch","567","","B01921E3D58C","2026-07-18 21:38:59+0000","Garage","Kasa Plug Switch","","","","8006CC6EDFD95CF6626ACAE9DDF249EE233D1253","192.168.1.52","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Garage Rolling Door eWeLink Open Contact Sensor","Garage Rolling Door eWeLink Open Contact Sensor","665","ZGB","9EE8","2026-07-18 23:44:40+0000","Garage","Tuya Zigbee Contact Sensor++ w/ healthStatus","55","","","","","","","","","","","","","","","","eWeLink","CK-TLSR8656-SS5-01(7003)","","","","","","","",""
"Garage Rolling Door Third Reality Closed Contact Sensor","Garage Rolling Door Third Reality Closed Contact Sensor","440","ZGB","501D","2026-07-18 19:48:36+0000","Garage","Tuya Zigbee Contact Sensor++ w/ healthStatus","30","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Garage Third Reality Downstairs Cameras POE Outlet","Garage Third Reality Downstairs Cameras POE Outlet","646","ZGB","751D","2026-07-16 13:33:42+0000","Garage","Third Reality Power Meter Plug Custom","58","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Garage Third Reality Table Outlet","Garage Third Reality Table Outlet","405","ZGB","98A3","2026-07-16 20:59:37+0000","Garage","Third Reality Power Meter Plug Custom","47","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Garage Third Reality Tank Outlet","Garage Third Reality Tank Outlet","390","ZGB","C755","2026-07-16 20:59:44+0000","Garage","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006,0B04,0702","","","","Third Reality, Inc","3RSP02028BZ","0019","0B04","","1.01.01","","","",""
"Garage-Foyer Door Third Reality Contact Sensor","Garage-Foyer Door Third Reality Contact Sensor","270","ZGB","D79F","2026-07-18 21:28:59+0000","Entryway","Tuya Zigbee Contact Sensor++ w/ healthStatus","3F","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Guest Bath Echo Show 8","Guest Bath Echo Show 8","141","","22|echoSpeaks|G0916D100067042U","2026-07-18 21:23:06+0000","Guest Bathroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bath Fan Switch","Guest Bath Fan Switch","552","","242FD0B23FF0","2026-07-18 22:51:26+0000","Guest Bathroom","Kasa Plug Switch","","","","800669D426DE134C731105898F3525582270343D","192.168.1.42","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Guest Bath Overhead Light Switch","Guest Bath Overhead Light Switch","553","","242FD0B241E8","2026-07-18 22:51:26+0000","Guest Bathroom","Kasa Plug Switch","","","","800685C68DCD6FF08C2FD66CD4734B052270FB9D","192.168.1.41","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Guest Bath Sonoff Shower Motion Sensor","Guest Bath Sonoff Shower Motion Sensor","472","ZGB","5B32","2026-07-18 19:03:36+0000","Guest Bathroom","Tuya Multi Sensor 4 In 1 (V3)","05","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Guest Bathroom Sonoff Motion Sensor","Guest Bathroom Sonoff Motion Sensor","94","ZGB","27D1","2026-07-18 22:51:45+0000","Guest Bathroom","Tuya Multi Sensor 4 In 1 (V3)","45","","","","","","","","","1002-1602-00000045","","","","","","","TUYATEC-zn9wyqtr","RH3040","","","","00000045","","","",""
"Guest Bathroom Vanity Dimmer Light Switch","Guest Bathroom Vanity Dimmer Light Switch","680","","3068932CE2C1","2026-07-18 22:51:25+0000","Guest Bathroom","TpLink Dimmer","","","http://192.168.1.53:80/app","","","","192.168.1.53","","","","true","","","","","3","","","","","KLAP","","","","Dimmer","2.4.2a"
"Guest Bedroom Echo Dot (Gen 5)","Guest Bedroom Echo Dot (Gen 5)","478","","22|echoSpeaks|G6G22H0844260LVW","2026-07-18 21:23:06+0000","Guest Bedroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bedroom Light Dimming Switch","Guest Bedroom Light Dimming Switch","546","ZGB","0C18","2026-07-18 11:05:07+0000","Guest Bedroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Guest Bedroom Motion/Lux Sensor","Guest Bedroom Motion/Lux Sensor","581","ZGB","023F","2026-07-18 23:52:47+0000","Guest Bedroom","Tuya Multi Sensor 4 In 1 (V3)","91","","","","","","","","","","","","","","","","_TZE200_3towulqd","TS0601","","","","","","2.1.1","",""
"Guest Bedroom Third Reality Temp/Humidity Sensor","Guest Bedroom Third Reality Temp/Humidity Sensor","636","ZGB","FF5D","2026-07-18 23:43:32+0000","Guest Bedroom","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Hallway Jasco 3Way Light Switch","Hallway Jasco 3Way Light Switch","383","ZGB","21CC","2026-07-18 11:05:08+0000","Hallway","GE Zigbee Switch","12","","","","","","","","","1124-004E-00000005","","","","","","","Jasco Products","43078","","","","00000005","","","",""
"Hallway Samsung Button","Hallway Samsung Button","45","ZGB","7771","2026-07-18 23:16:59+0000","Hallway","Samsung Zigbee Button","11","","","","","","","","","1241-0040-00000011","","","","","","","Samjin","button","","","","00000011","","","",""
"Hallway Third Reality Glowlight Outlet","Hallway Third Reality Glowlight Outlet","18","ZGB","DD78","2026-07-18 11:05:07+0000","Hallway","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Hallway Third Reality Temp/Humidity Sensor w/Display","Hallway Third Reality Temp/Humidity Sensor w/Display","500","ZGB","2E31","2026-07-18 23:47:12+0000","Hallway","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Kitchen Counter GLEDOPTO LED Striplight","Kitchen Counter GLEDOPTO LED Striplight","151","ZGB","3998","2026-07-18 22:09:29+0000","Kitchen","Advanced Zigbee RGBW Bulb","01","","","","","","","","","124F-1415-24013001","","","","","","","GLEDOPTO","GL-C-008P","","","","20451203","","","",""
"Kitchen Echo Show 11","Kitchen Echo Show 11","675","","22|echoSpeaks|GSM42807543705SM","2026-07-18 21:23:06+0000","Kitchen","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kitchen Fridge eWeLink Motion Sensor","Kitchen Fridge eWeLink Motion Sensor","459","ZGB","4326","2026-07-18 22:55:01+0000","Kitchen","Tuya Multi Sensor 4 In 1 (V3)","05","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Kitchen Light Dimming Switch","Kitchen Light Dimming Switch","575","","A842A1BFC48F","2026-07-18 22:09:30+0000","Kitchen","Kasa Dimming Switch","","","","80068E508338B5C45F2948609CC004E52218FCD8","192.168.1.25","9999","","","dimmingSwitch","","","","","","","","","HS220","","","","","","","",""
"Kitchen Sunricher Counter Temp/Humidity/Lux/Motion Sensor","Kitchen Sunricher Counter Temp/Humidity/Lux/Motion Sensor","469","ZGB","8B37","2026-07-18 23:49:42+0000","Kitchen","Tuya Multi Sensor 4 In 1 (V3)","10","","","","","","","","","1224-1901-00000010","","","0000,0001,0003,0009,0400,0402,0405,0406,0500","","","","Sunricher","HK-SENSOR-4IN1-A","0019","","","6.10.0.0_r1","","","",""
"Kitchen Third Reality Stove Motion Sensor","Kitchen Third Reality Stove Motion Sensor","176","ZGB","FE24","2026-07-18 22:05:56+0000","Kitchen","Third Reality Motion Sensor (Custom)","1F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Kitchen Third Reality Temp/Humidity Sensor w/Display","Kitchen Third Reality Temp/Humidity Sensor w/Display","230","ZGB","1FD3","2026-07-18 22:40:44+0000","Kitchen","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","","","","",""
"Linen Closet Dimmable Bulb","Linen Closet Dimmable Bulb","589","ZGB","8EED","2026-07-18 11:05:14+0000","Hallway","Sengled Element Classic","01","","","","","","","","","1160-0003-00000009","","","","","","","sengled","E11-G13","","","","00000009","","","",""
"Linen Closet Third Reality Contact Sensor","Linen Closet Third Reality Contact Sensor","588","ZGB","916E","2026-07-18 17:20:40+0000","Hallway","Tuya Zigbee Contact Sensor++ w/ healthStatus","3F","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Living Room Bkcase Outlet Switch","Living Room Bkcase Outlet Switch","569","","B01921E3D2A9","2026-07-18 11:05:14+0000","Living Room","Kasa Plug Switch","","","","8006B42757C6849FC972AE646CAEF478233D5093","192.168.1.51","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Living Room Centralite Pearl Thermostat","Living Room Centralite Pearl Thermostat","510","ZGB","CFA8","2026-07-18 23:52:58+0000","Living Room","CentraLite Pearl Thermostat Custom","","","","","","","","","","C2DF-0005-04075010","","","0000,0001,0003,0020,0201,0202,0204,0B05","","heat","","Centralite","3157100","000A,0019","","","04075010","","","",""
"Living Room Echo Dot (Gen 3)","Living Room Echo Dot (Gen 3)","26","","22|echoSpeaks|G8M11M110474035L","2026-07-18 21:23:05+0000","Living Room","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Living Room eWeLink Motion Sensor","Living Room eWeLink Motion Sensor","189","ZGB","3F02","2026-07-14 03:12:00+0000","Living Room","Tuya Multi Sensor 4 In 1 (V3)","05","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Living Room INNR Reading Lamp","Living Room INNR Reading Lamp","638","ZGB","DC5F","2026-07-18 11:05:14+0000","Living Room","Advanced Zigbee RGBW Bulb","19","","","","","","","","","1166-04B1-19213685","","","","","","","innr","AE 287 C","","","","1.9.33","","","",""
"Living Room INNR Torche Light","Living Room INNR Torche Light","639","ZGB","37DA","2026-07-18 11:05:15+0000","Living Room","Advanced Zigbee RGBW Bulb","19","","","","","","","","","1166-04B1-19213685","","","","","","","innr","AE 287 C","","","","1.9.33","","","",""
"Living Room Lamp CT Bulb","Living Room Lamp CT Bulb","30","ZGB","3400","2026-07-18 11:05:14+0000","Living Room","Sengled Element Plus","01","","","","","","","","","1160-0001-0000002E","","","0000,0003,0004,0005,0006,0008,0300,0702,0B05","","","","sengled","Z01-A19NAE26","0019","","","0000002E","","","",""
"Living Room Third Reality Air Filter Outlet","Living Room Third Reality Air Filter Outlet","19","ZGB","D1B7","2026-07-18 11:05:13+0000","Living Room","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Living Room Third Reality Left Ambiance Bulb","Living Room Third Reality Left Ambiance Bulb","73","ZGB","82EA","2026-07-18 11:05:14+0000","Living Room","Third Reality ZigBee RGBW Bulb","42","","","","","","","","","1407-D3AC-0000004A","","","","","","","Third Reality, Inc","3RCB01057Z","","","","0000004A","","","",""
"Living Room Third Reality Right Ambiance Bulb","Living Room Third Reality Right Ambiance Bulb","72","ZGB","2BA6","2026-07-18 11:05:14+0000","Living Room","Third Reality ZigBee RGBW Bulb","42","","","","","","","","","1407-D3AC-0000004A","","","","","","","Third Reality, Inc","3RCB01057Z","","","","0000004A","","","",""
"Living Room Third Reality Temp/Humidity Sensor w/Display","Living Room Third Reality Temp/Humidity Sensor w/Display","501","ZGB","ED0A","2026-07-18 22:47:54+0000","Living Room","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","","","","",""
"Office Desk Third Reality Motion Sensor","Office Desk Third Reality Motion Sensor","177","ZGB","8AD9","2026-07-18 23:50:53+0000","Office","Third Reality Motion Sensor (Custom)","1F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Office Echo Dot Left with Clock (Gen 5)","Office Echo Dot Left with Clock (Gen 5)","512","","22|echoSpeaks|G6G22N063482007T","2026-07-18 21:23:06+0000","Office","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Office Echo Dot Right (Gen 3)","Office Echo Dot Right (Gen 3)","24","","22|echoSpeaks|G090XG07939306XF","2026-07-18 21:23:05+0000","Office","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Office Entry SmartThings Motion/Temp Sensor","Office Entry SmartThings Motion/Temp Sensor","44","ZGB","D0EE","2026-07-18 23:51:24+0000","Office","SmartThings Motion Sensor Enhanced Custom","14","","","","","","","","","1241-0010-00000014","","","","","","","Samjin","motion","","","","00000014","","","",""
"Office Light Dimming Switch","Office Light Dimming Switch","39","ZGB","87F6","2026-07-18 23:30:02+0000","Office","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Office RGB/CT Test Bulb","Office RGB/CT Test Bulb","642","ZGB","6EBF","2026-07-18 11:05:19+0000","Office","Sengled Element Plus","47","","","","","","","","","1160-03EC-00000047","","","","","","","sengled","E11-N1EA","","","","00000047","","","",""
"Office Third Reality 4:3 Monitor Outlet","Office Third Reality 4:3 Monitor Outlet","20","ZGB","0796","2026-07-18 13:35:07+0000","Office","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Office Third Reality Floor Heater Outlet w-Power Monitor","Office Third Reality Floor Heater Outlet w-Power Monitor","181","ZGB","F072","2026-07-18 23:02:18+0000","Office","Third Reality Power Meter Plug Custom","","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006,0B04,0702","","","","Third Reality, Inc","3RSP02028BZ","0019","","","1.01.01","","","",""
"Office Third Reality Laser Printer Outlet","Office Third Reality Laser Printer Outlet","124","ZGB","7815","2026-07-18 11:05:19+0000","Office","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Office Third Reality Portrait Monitor Outlet","Office Third Reality Portrait Monitor Outlet","173","ZGB","9FED","2026-07-18 13:35:07+0000","Office","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Office Third Reality Temp/Humidity Sensor w/Display","Office Third Reality Temp/Humidity Sensor w/Display","499","ZGB","7325","2026-07-18 23:34:00+0000","Office","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","","","","",""
"Office Third Reality Torche LIght Outlet","Office Third Reality Torche LIght Outlet","14","ZGB","1231","2026-07-18 13:34:53+0000","Office","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Office Third Reality Upstairs Cameras POE Outlet","Office Third Reality Upstairs Cameras POE Outlet","645","ZGB","B2C6","2026-07-16 13:33:42+0000","Office","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Patio Door Third Reality Contact Sensor","Patio Door Third Reality Contact Sensor","271","ZGB","91EA","2026-07-18 19:52:33+0000","Patio","Tuya Zigbee Contact Sensor++ w/ healthStatus","3F","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Patio Light Switch","Patio Light Switch","566","","B01921E3D6D9","2026-07-16 11:05:26+0000","Patio","Kasa Plug Switch","","","","8006515A5D1F65C705F202D3841784F0233D3088","192.168.1.54","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Patio Third Reality Outdoor Outlet","Patio Third Reality Outdoor Outlet","28","ZGB","B74F","2026-07-18 11:05:25+0000","Patio","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006","","","","Third Reality, Inc","3RSP019BZ","0019","none","","1.01.01","","","",""
"Remote Builder Storage Device 1","Remote Builder Storage Device 1","457","","Remote_Builder_Storage_Device_1","2026-04-07 14:23:40+0000","Virtual","Remote Builder Storage Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remote Builder Storage Device 2","Remote Builder Storage Device 2","519","","Remote_Builder_Storage_Device_2","2026-07-18 13:42:34+0000","Virtual","Remote Builder Storage Driver","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rotary Knob","Rotary Knob","521","ZGB","13B7","2026-07-18 22:46:10+0000","Office","Tuya Scene Switch TS004F","91","","","","","","","","","","","","0000,0001,0003,0004,0006,1000","","","","_TZ3000_abrsvsou","TS004F","0019,000A,0003,0004,0005,0006,0008,1000","","","0122052017","","","",""
"Stairwell Light Dimming Switch","Stairwell Light Dimming Switch","584","ZGB","58BF","2026-07-18 23:33:31+0000","Stairwell","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Stairwell Lower Tuya Motion./Lux Sensor","Stairwell Lower Tuya Motion./Lux Sensor","577","ZGB","F515","2026-07-18 23:52:36+0000","Stairwell","Tuya Multi Sensor 4 In 1 (V3)","91","","","","","","","","","","","","","","","","_TZE200_3towulqd","TS0601","","","","","","2.1.1","",""
