"Device Name","Device Label","Device ID","controllerType","deviceNetworkId","lastActivityAt","roomName","typeName","application","aqaraModel","baseUrl","deviceId","deviceIP","devicePort","devIp","driverVersion","feature","firmwareMT","gradOnOff","hasLed","inClusters","isEm","lastRunningMode","ledVer","manufacturer","model","outClusters","powerCluster","protocol","softwareBuild","tpLinkType","tuyaVersion","type","version"
"Bedroom Heating Pad (Left) Outlet","Bedroom Third Reality Heating Pad (Left) Outlet","182","ZGB","0E3B","2026-07-22 11:05:02+0000","Bedroom","Third Reality Power Meter Plug Custom","5C","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006","","","","Third Reality, Inc","3RSP019BZ","0019","none","","1.01.01","","","",""
"Bedroom Heating Pad (Right) Outlet","Bedroom Third Reality Heating Pad (Right) Outlet","185","ZGB","97B8","2026-07-22 11:05:02+0000","Bedroom","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Bedroom Lights Group","Bedroom Lights Group","52","","Group_51","2026-07-22 15:22:35+0000","Bedroom","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedroom Motion","Bedroom Third Reality Motion Sensor","55","ZGB","1FD9","2026-07-22 15:14:24+0000","Bedroom","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Bedroom Nightstand Lamp","Bedroom Nightstand Lamp CT Bulb","15","ZGB","E280","2026-07-22 15:22:35+0000","Bedroom","Advanced Zigbee CT Bulb","01","","","","","","","","","1168-0854-21026500","","","","","","","lk","ZBT-CCTLight-GLS0108","","","","2.2","","","",""
"Bedroom Omni Sensor","Virtual Bedroom Omni Sensor","504","","79e85c45-b4b1-4d6f-867e-a69788991825","2026-07-22 17:31:13+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bedroom Overhead Dimmer","Bedroom Overhead Light Dimming Switch","107","ZGB","BD59","2026-07-22 15:13:54+0000","Bedroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0000-00000006","","","","","","","Jasco Products","45857","","0702","","00000006","","","",""
"Bedroom Temp/Humidity","Bedroom Third Reality Temp/Humidity Sensor","625","ZGB","37FF","2026-07-22 17:31:12+0000","Bedroom","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Bedroom Temp/Humidity Sensor w/Display","Bedroom Third Reality Temp/Humidity Sensor w/Display","498","ZGB","BAB7","2026-07-22 17:13:52+0000","Bedroom","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Daily Device Cycle Tile","Tile - Daily Device Cycle","677","","bb355827-6ec9-4136-bdc0-d6a8449d46f4","2026-07-22 11:05:26+0000","Virtual","Notification Tile (Custom)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time Parser","Virtual Date & Time Parser","21","","8b8213f0-87ba-450c-ab77-04067f2e32d5","2026-07-22 17:00:03+0000","Virtual","Date & Time Parser","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dining Room Dimmer","Dining Room Light Dimming Switch","576","","8C902D204456","2026-07-22 11:05:03+0000","Dining Room","TpLink Dimmer","","","http://192.168.1.56:80/app","","","","192.168.1.56","","","","true","true","","false","","3","","","","","KLAP","","SMART.KASASWITCH","","Dimmer","2.4.2a"
"Dining Room Echo","Dining Room Echo Dot (Gen 3)","248","","22|echoSpeaks|G090VC0783960BL4","2026-07-22 15:22:07+0000","Dining Room","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dining Room Entry Motion","Dining Room Third Reality Entry Motion Sensor","48","ZGB","03D0","2026-07-22 09:30:36+0000","Dining Room","Third Reality Motion Sensor (Custom)","4F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Dining Room Temp/Humidity","Dining Room Third Reality Temp/Humidity Sensor","626","ZGB","9E4F","2026-07-22 17:43:28+0000","Dining Room","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Doorbell","Virtual Doorbell Pushed Switch","144","","839aad48-30ae-4364-8c41-44d290c9caee","2026-07-14 22:08:12+0000","Virtual","Virtual Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dundee Home Hub - Hubitat C7","Dundee Home Hub - Hubitat C7","146","","f5c2feb7-16c7-4bf3-8f4f-4a74e477ba18","2026-07-22 17:44:02+0000","Office","Hub Information Driver v3","","","","","","","","3.1.27","","","","","","","","","","","","","","","","","",""
"Echo Speaks EverywhereTwo","EverywhereTwo (WHA)","597","","22|echoSpeaks|abf36a9da0114483b860af9748b4b10b","2026-07-22 15:22:08+0000","Virtual","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entryway Light Switch","Entryway Jasco Light Switch","394","ZGB","DA5C","2026-07-22 11:05:02+0000","Entryway","GE Zigbee Switch","12","","","","","","","","","1124-004E-00000005","","","","","","","Jasco Products","43078","","","","00000005","","","",""
"Entryway Motion","Entryway Aqara P1 Motion Sensor","517","ZGB","038A","2026-07-22 17:15:13+0000","Entryway","Aqara P1 Motion Sensor","","","","","","","","","","","","","0000,FFFF,0406,0400,0500,0001,0003","","","","","lumi.sensor_motion.aq2 ","0000,0019","","","","","","",""
"File Manager+","File Manager+","593","","FileManager+Device","2026-04-11 15:18:49+0000","Virtual","File Manager+ Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Front Door Contact","Front Door Tuya Contact Sensor","105","ZGB","C069","2026-07-22 17:23:50+0000","Entryway","Tuya Zigbee Contact Sensor++ w/ healthStatus","4C","","","","","","","","","","","","","","","","TUYATEC-r9hgssol","RH3001","","","","","","","",""
"Front Porch & Driveway Group","Front Porch & Driveway Group","349","","Group_464","2026-07-22 12:41:00+0000","Front Porch","Group Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Front Porch and Driveway Light","Front Porch and Driveway Light Switch","561","","D844892DF191","2026-07-22 12:41:00+0000","Front Porch","Kasa Plug Switch","","","","8006DB077020FCC37EF2566DDB06B28D22C8E7D6","192.168.1.21","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Garage Door Opener Relay","Garage Door Opener Sonoff Relay","437","ZGB","22DD","2026-07-21 00:34:05+0000","Garage","Sonoff GDO Relay - Custom","10","","","","","","","","","1286-0048-00001000","","","0000,0003,0004,0005,0006,0B05,FC57,FC11","","","","SONOFF","MINI-ZBD","0003,0006,0019","","","1.0.0","","","",""
"Garage Downstairs POE Outlet","Garage Third Reality Downstairs Cameras POE Outlet","646","ZGB","751D","2026-07-19 14:43:03+0000","Garage","Third Reality Power Meter Plug Custom","58","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Garage Echo","Garage Echo Dot (Gen 3)","25","","22|echoSpeaks|G8M0XG111477089T","2026-07-22 15:22:07+0000","Garage","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Garage Lights Group","Garage Lights Group","386","","Group_490","2026-07-22 11:05:09+0000","Garage","Group Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Garage Overhead Light","Garage Overhead Light Switch","567","","B01921E3D58C","2026-07-22 11:05:08+0000","Garage","Kasa Plug Switch","","","","8006CC6EDFD95CF6626ACAE9DDF249EE233D1253","192.168.1.52","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Garage Rolling Door Closed Contact Sensor","Garage Rolling Door Third Reality Closed Contact Sensor","440","ZGB","501D","2026-07-22 07:59:35+0000","Garage","Tuya Zigbee Contact Sensor++ w/ healthStatus","30","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Garage Rolling Door Open Contact Sensor","Garage Rolling Door eWeLink Open Contact Sensor","665","ZGB","9EE8","2026-07-22 17:25:10+0000","Garage","Tuya Zigbee Contact Sensor++ w/ healthStatus","55","","","","","","","","","","","","","","","","eWeLink","CK-TLSR8656-SS5-01(7003)","","","","","","","",""
"Garage Table Outlet","Garage Third Reality Table Outlet","405","ZGB","98A3","2026-07-22 11:05:07+0000","Garage","Third Reality Power Meter Plug Custom","47","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Garage Tank Outlet","Garage Third Reality Tank Outlet","390","ZGB","C755","2026-07-22 17:34:25+0000","Garage","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","0000,FF03,0003,0004,0005,0006,0B04,0702","","","","Third Reality, Inc","3RSP02028BZ","0019","0B04","","1.01.01","","","",""
"Garage-Foyer Door Contact Sensor","Garage-Foyer Door Third Reality Contact Sensor","270","ZGB","D79F","2026-07-22 13:19:08+0000","Entryway","Tuya Zigbee Contact Sensor++ w/ healthStatus","3F","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Guest Bath Echo Show","Guest Bath Echo Show 8","141","","22|echoSpeaks|G0916D100067042U","2026-07-22 15:22:07+0000","Guest Bathroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bath Fan","Guest Bath Fan Switch","552","","242FD0B23FF0","2026-07-22 08:50:23+0000","Guest Bathroom","Kasa Plug Switch","","","","800669D426DE134C731105898F3525582270343D","192.168.1.42","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Guest Bath Lights Group","Guest Bath Lights Group","471","","Group_604","2026-07-22 11:05:08+0000","Guest Bathroom","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bath Overhead Light","Guest Bath Overhead Light Switch","553","","242FD0B241E8","2026-07-21 21:26:15+0000","Guest Bathroom","Kasa Plug Switch","","","","800685C68DCD6FF08C2FD66CD4734B052270FB9D","192.168.1.41","9999","","","TIM","","","","","","","","","KS200","","","","","","","",""
"Guest Bath Shower Motion","Guest Bath Sonoff Shower Motion Sensor","472","ZGB","5B32","2026-07-18 19:03:36+0000","Guest Bathroom","Tuya Multi Sensor 4 In 1 (V3)","05","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Guest Bath Temp/Humidity","Guest Bathroom Sonoff Temp/Humidity Sensor","226","ZGB","A841","2026-07-22 17:33:42+0000","Guest Bathroom","Sonoff Zigbee Temperature/Humidity Sensor","00","","","","","","","","","1286-0805-00001009","","","0000,0001,0003,0020,0402,0405,FC57,FC11","","","","SONOFF","SNZB-02D","0019","","","1.0.9","","","",""
"Guest Bathroom Motion","Guest Bathroom Sonoff Motion Sensor","94","ZGB","27D1","2026-07-22 17:25:20+0000","Guest Bathroom","Tuya Multi Sensor 4 In 1 (V3)","45","","","","","","","","","1002-1602-00000045","","","","","","","TUYATEC-zn9wyqtr","RH3040","","","","00000045","","","",""
"Guest Bathroom Omni Sensor","Virtual Guest Bathroom Omni Sensor","505","","9a5f40e7-aa96-46ad-95c2-c539ed0a70bf","2026-07-22 17:33:43+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bathroom Vanity Dimmer","Guest Bathroom Vanity Dimmer Light Switch","680","","3068932CE2C1","2026-07-22 11:05:08+0000","Guest Bathroom","TpLink Dimmer","","","http://192.168.1.53:80/app","","","","192.168.1.53","","","","true","","","","","3","","","","","KLAP","","","","Dimmer","2.4.2a"
"Guest Bedroom Dimmer","Guest Bedroom Light Dimming Switch","546","ZGB","0C18","2026-07-22 11:05:07+0000","Guest Bedroom","GE Zigbee Dimmer","12","","","","","","","","","1124-0050-00000004","","","","","","","Jasco Products","43080","","none","","00000004","","","",""
"Guest Bedroom Echo","Guest Bedroom Echo Dot (Gen 5)","478","","22|echoSpeaks|G6G22H0844260LVW","2026-07-22 15:22:08+0000","Guest Bedroom","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bedroom Lux/Motion","Guest Bedroom Tuya Motion/Lux Sensor","581","ZGB","023F","2026-07-22 17:43:42+0000","Guest Bedroom","Tuya Multi Sensor 4 In 1 (V3)","91","","","","","","","","","","","","","","","","_TZE200_3towulqd","TS0601","","","","","","2.1.1","",""
"Guest Bedroom Omni Sensor","Virtual Guest Bedroom Omni Sensor","506","","5d12f017-69ba-4f58-97e3-2c00886e5951","2026-07-22 17:39:33+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guest Bedroom Temp/Humidity","Guest Bedroom Third Reality Temp/Humidity Sensor","636","ZGB","FF5D","2026-07-22 17:39:32+0000","Guest Bedroom","Generic Zigbee Temperature/Humidity Sensor","2F","","","","","","","","","1407-D3A9-0000002F","","","0000,0001,0003,0402,0405,FF01","","","","Third Reality, Inc","3RTHS0224Z","0019","","","v1.00.47","","","",""
"Guest Showering","Virtual Guest Showering Switch","644","","539cfae8-a84d-4d5b-9575-4785aed7acce","2026-07-22 08:50:19+0000","Virtual","Virtual Inverse-able Switch w-autoOff and Toggle","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hallway Button","Hallway Samsung Button","45","ZGB","7771","2026-07-22 17:37:40+0000","Hallway","Samsung Zigbee Button","11","","","","","","","","","1241-0040-00000011","","","","","","","Samjin","button","","","","00000011","","","",""
"Hallway Glowlight Outlet","Hallway Third Reality Glowlight Outlet","18","ZGB","DD78","2026-07-22 11:05:07+0000","Hallway","Third Reality Power Meter Plug Custom","65","","","","","","","","","1233-D3A6-10013065","","","","","","","Third Reality, Inc","3RSP019BZ","","none","","1.01.01","","","",""
"Hallway Group","Hallway Group","385","","Group_489","2026-07-22 11:05:08+0000","Hallway","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hallway Light Switch","Hallway Jasco 3Way Light Switch","383","ZGB","21CC","2026-07-22 11:05:08+0000","Hallway","GE Zigbee Switch","12","","","","","","","","","1124-004E-00000005","","","","","","","Jasco Products","43078","","","","00000005","","","",""
"Hallway Lights Group","Hallway Lights Group","384","","Group_488","2026-07-22 11:05:08+0000","Hallway","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hallway Omni Sensor","Virtual Hallway Omni Sensor","507","","e3695357-e5cb-4a9c-8125-117d3b352e26","2026-07-22 17:09:56+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hallway Temp/Humidity Sensor w/Display","Hallway Third Reality Temp/Humidity Sensor w/Display","500","ZGB","2E31","2026-07-22 17:08:28+0000","Hallway","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","1233-D3A9-00000028","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","00000028","","","",""
"Heated Matress","Bedroom Heated Blanket Group","445","","Group_570","2026-07-22 11:40:01+0000","Bedroom","Group Switch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kitchen 4-in1 Motion","Kitchen Sunricher Counter Temp/Humidity/Lux/Motion Sensor","469","ZGB","8B37","2026-07-22 17:37:44+0000","Kitchen","Tuya Multi Sensor 4 In 1 (V3)","10","","","","","","","","","1224-1901-00000010","","","0000,0001,0003,0009,0400,0402,0405,0406,0500","","","","Sunricher","HK-SENSOR-4IN1-A","0019","","","6.10.0.0_r1","","","",""
"Kitchen Counter Striplight","Kitchen Counter GLEDOPTO LED Striplight","151","ZGB","3998","2026-07-22 11:05:13+0000","Kitchen","Advanced Zigbee RGBW Bulb","01","","","","","","","","","124F-1415-24013001","","","","","","","GLEDOPTO","GL-C-008P","","","","20451203","","","",""
"Kitchen Dimmer","Kitchen Light Dimming Switch","575","","A842A1BFC48F","2026-07-22 15:45:48+0000","Kitchen","Kasa Dimming Switch","","","","80068E508338B5C45F2948609CC004E52218FCD8","192.168.1.25","9999","","","dimmingSwitch","","","","","","","","","HS220","","","","","","","",""
"Kitchen Echo Show","Kitchen Echo Show 11","675","","22|echoSpeaks|GSM42807543705SM","2026-07-22 15:22:08+0000","Kitchen","Echo Speaks Device","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kitchen Fridge Motion","Kitchen Fridge eWeLink Motion Sensor","459","ZGB","4326","2026-07-22 16:56:00+0000","Kitchen","Tuya Multi Sensor 4 In 1 (V3)","05","","","","","","","","","","","","","","","","eWeLink","MS01","","","","","","","",""
"Kitchen Lights Group","Kitchen Lights Group","152","","Group_144","2026-07-22 15:45:48+0000","Kitchen","Group Bulb Dimmer-2.1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kitchen Omni Sensor","Virtual Kitchen Omni Sensor","290","","a286c885-9be4-4f0b-9c1a-b12d59f06c32","2026-07-22 17:37:45+0000","Virtual","Virtual Omni Sensor","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kitchen Stove Motion","Kitchen Third Reality Stove Motion Sensor","176","ZGB","FE24","2026-07-22 15:42:18+0000","Kitchen","Third Reality Motion Sensor (Custom)","1F","","","","","","","","","1233-D3A1-0000004F","","","","","","","Third Reality, Inc","3RMS16BZ","","","","0000004F","","","",""
"Kitchen Temp/Humidity Sensor w/Display","Kitchen Third Reality Temp/Humidity Sensor w/Display","230","ZGB","1FD3","2026-07-22 17:34:18+0000","Kitchen","Generic Zigbee Temperature/Humidity Sensor","28","","","","","","","","","","","","","","","","Third Reality, Inc","3RTHS24BZ","","","","","","","",""
"Linen Closet Contact Sensor","Linen Closet Third Reality Contact Sensor","588","ZGB","916E","2026-07-22 17:33:27+0000","Hallway","Tuya Zigbee Contact Sensor++ w/ healthStatus","3F","","","","","","","","","1233-D3A2-0000003F","","","","","","","Third Reality, Inc","3RDS17BZ","","","","0000003F","","","",""
"Linen Closet Dimmable Bulb","Linen Closet Dimmable Bulb","589","ZGB","8EED","2026-07-22 11:05:14+0000","Hallway","Sengled Element Classic","01","","","","","","","","","1160-0003-00000009","","","","","","","sengled","E11-G13","","","","00000009","","","",""
