echos-speak-bridge
date,stream,content
2026/09/09 14:13:23,stdout,

2026/09/09 14:13:23,stdout,  run `npm fund` for details

2026/09/09 14:13:23,stdout,20 packages are looking for funding

2026/09/09 14:13:23,stdout,

2026/09/09 14:13:23,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 14:13:23,stdout,

2026/09/09 14:13:18,stdout,Successfully saved .alexa-cookie.json

2026/09/09 14:13:18,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 13:01:58,stderr,    at AsyncResource.runInAsyncScope (node:async_hooks:203:9)

2026/09/09 13:01:58,stderr,    at /app/node_modules/body-parser/lib/read.js:137:5

2026/09/09 13:01:58,stderr,    at next (/app/node_modules/express/lib/router/index.js:280:10)

2026/09/09 13:01:58,stderr,    at Function.process_params (/app/node_modules/express/lib/router/index.js:346:12)

2026/09/09 13:01:58,stderr,    at /app/node_modules/express/lib/router/index.js:284:15

2026/09/09 13:01:58,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 13:01:58,stderr,    at Route.dispatch (/app/node_modules/express/lib/router/route.js:119:3)

2026/09/09 13:01:58,stderr,    at next (/app/node_modules/express/lib/router/route.js:149:13)

2026/09/09 13:01:58,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 13:01:58,stderr,    at /app/server.js:199:33

2026/09/09 13:01:58,stderr,Execution error for command [announce] on device [G090XG07939306XF]: TypeError: alexa.sendAnnouncement is not a function

2026/09/09 13:01:58,stdout,Executing [announce] for device [G090XG07939306XF]: { text: 'IM here' }

2026/09/09 12:45:24,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:45:21,stdout,Cookie successfully flushed to disk at: /app/data/.alexa-cookie.json

2026/09/09 12:45:21,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:43:27,stdout,================================================================

2026/09/09 12:43:27,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:43:27,stdout,REST API Listening on Port: 8093

2026/09/09 12:43:27,stdout,Echos Speak Advanced API Bridge (v1.1.3) Running

2026/09/09 12:43:27,stdout,================================================================

2026/09/09 12:43:27,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:43:27,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:43:27,stdout,Initializing Alexa Remote connection...

2026/09/09 12:43:27,stdout,Run `npm audit` for details.

2026/09/09 12:43:27,stdout,

2026/09/09 12:43:27,stdout,  npm audit fix --force

2026/09/09 12:43:27,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:43:27,stdout,

2026/09/09 12:43:27,stdout,  npm audit fix

2026/09/09 12:43:27,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:43:27,stdout,

2026/09/09 12:43:27,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:43:27,stdout,

2026/09/09 12:43:27,stdout,  run `npm fund` for details

2026/09/09 12:43:27,stdout,20 packages are looking for funding

2026/09/09 12:43:27,stdout,

2026/09/09 12:43:27,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 12:43:27,stdout,

2026/09/09 12:43:23,stdout,Successfully saved .alexa-cookie.json

2026/09/09 12:43:23,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 12:37:49,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:37:47,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:37:37,stdout,================================================================

2026/09/09 12:37:37,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:37:37,stdout,REST API Listening on Port: 8093

2026/09/09 12:37:37,stdout,Echos Speak Advanced API Bridge (v1.1.2) Running

2026/09/09 12:37:37,stdout,================================================================

2026/09/09 12:37:37,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:37:37,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:37:37,stdout,Initializing Alexa Remote connection...

2026/09/09 12:37:37,stdout,Run `npm audit` for details.

2026/09/09 12:37:37,stdout,

2026/09/09 12:37:37,stdout,  npm audit fix --force

2026/09/09 12:37:37,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:37:37,stdout,

2026/09/09 12:37:37,stdout,  npm audit fix

2026/09/09 12:37:37,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:37:37,stdout,

2026/09/09 12:37:37,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:37:37,stdout,

2026/09/09 12:37:37,stdout,  run `npm fund` for details

2026/09/09 12:37:37,stdout,20 packages are looking for funding

2026/09/09 12:37:37,stdout,

2026/09/09 12:37:37,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 12:37:37,stdout,

2026/09/09 12:37:33,stdout,Successfully saved .alexa-cookie.json

2026/09/09 12:37:33,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 12:36:32,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:36:30,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:36:13,stdout,================================================================

2026/09/09 12:36:13,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:36:13,stdout,REST API Listening on Port: 8093

2026/09/09 12:36:13,stdout,Echos Speak Advanced API Bridge (v1.1.2) Running

2026/09/09 12:36:13,stdout,================================================================

2026/09/09 12:36:13,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:36:13,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:36:13,stdout,Initializing Alexa Remote connection...

2026/09/09 12:36:13,stdout,Run `npm audit` for details.

2026/09/09 12:36:13,stdout,

2026/09/09 12:36:13,stdout,  npm audit fix --force

2026/09/09 12:36:13,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:36:13,stdout,

2026/09/09 12:36:13,stdout,  npm audit fix

2026/09/09 12:36:13,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:36:13,stdout,

2026/09/09 12:36:13,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:36:13,stdout,

2026/09/09 12:36:12,stdout,  run `npm fund` for details

2026/09/09 12:36:12,stdout,20 packages are looking for funding

2026/09/09 12:36:12,stdout,

2026/09/09 12:36:12,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 12:36:12,stdout,

2026/09/09 12:35:55,stdout,Successfully saved .alexa-cookie.json

2026/09/09 12:35:55,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 12:34:25,stderr,}

2026/09/09 12:34:25,stderr,  port: 443

2026/09/09 12:34:25,stderr,"  address: '3.169.169.171',
"
2026/09/09 12:34:25,stderr,"  syscall: 'connect',
"
2026/09/09 12:34:25,stderr,"  code: 'ENETUNREACH',
"
2026/09/09 12:34:25,stderr,"  errno: -101,
"
2026/09/09 12:34:25,stderr,    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1555:16) {

2026/09/09 12:34:25,stderr,Failed to fetch devices from Amazon: Error: connect ENETUNREACH 3.169.169.171:443

2026/09/09 12:34:00,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:33:58,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:33:43,stdout,================================================================

2026/09/09 12:33:43,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:33:43,stdout,REST API Listening on Port: 8093

2026/09/09 12:33:43,stdout,Echos Speak Advanced API Bridge (v1.1.2) Running

2026/09/09 12:33:43,stdout,================================================================

2026/09/09 12:33:43,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:33:43,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:33:43,stdout,Initializing Alexa Remote connection...

2026/09/09 12:33:43,stdout,Run `npm audit` for details.

2026/09/09 12:33:43,stdout,

2026/09/09 12:33:43,stdout,  npm audit fix --force

2026/09/09 12:33:43,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:33:43,stdout,

2026/09/09 12:33:43,stdout,  npm audit fix

2026/09/09 12:33:43,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:33:43,stdout,

2026/09/09 12:33:43,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:33:43,stdout,

2026/09/09 12:33:43,stdout,  run `npm fund` for details

2026/09/09 12:33:43,stdout,20 packages are looking for funding

2026/09/09 12:33:43,stdout,

2026/09/09 12:33:43,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 12:33:43,stdout,

2026/09/09 12:33:31,stdout,Successfully saved .alexa-cookie.json

2026/09/09 12:33:31,stdout,Received SIGTERM. Flushing session state to disk before exiting...

2026/09/09 12:19:01,stdout,Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'Turn off the office ceiling' }

2026/09/09 12:18:53,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:18:51,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:18:14,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:18:14,stdout,================================================================

2026/09/09 12:18:14,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:18:14,stdout,REST API Listening on Port: 8093

2026/09/09 12:18:14,stdout,Echos Speak Advanced API Bridge (v1.1.2) Running

2026/09/09 12:18:14,stdout,================================================================

2026/09/09 12:18:14,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:18:14,stdout,Initializing Alexa Remote connection...

2026/09/09 12:18:14,stdout,Run `npm audit` for details.

2026/09/09 12:18:14,stdout,

2026/09/09 12:18:14,stdout,  npm audit fix --force

2026/09/09 12:18:14,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:18:14,stdout,

2026/09/09 12:18:14,stdout,  npm audit fix

2026/09/09 12:18:14,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:18:14,stdout,

2026/09/09 12:18:14,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:18:14,stdout,

2026/09/09 12:18:14,stdout,  run `npm fund` for details

2026/09/09 12:18:14,stdout,20 packages are looking for funding

2026/09/09 12:18:14,stdout,

2026/09/09 12:18:14,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 12:18:14,stdout,

2026/09/09 12:14:47,stdout,Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'Turn on the office ceiling' }

2026/09/09 12:14:12,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:14:10,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:13:22,stdout,================================================================

2026/09/09 12:13:22,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:13:22,stdout,REST API Listening on Port: 8093

2026/09/09 12:13:22,stdout,Echos Speak Advanced API Bridge (v1.1.1) Running

2026/09/09 12:13:22,stdout,================================================================

2026/09/09 12:13:22,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:13:22,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:13:22,stdout,Initializing Alexa Remote connection...

2026/09/09 12:13:22,stdout,Run `npm audit` for details.

2026/09/09 12:13:22,stdout,

2026/09/09 12:13:22,stdout,  npm audit fix --force

2026/09/09 12:13:22,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:13:22,stdout,

2026/09/09 12:13:22,stdout,  npm audit fix

2026/09/09 12:13:22,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:13:22,stdout,

2026/09/09 12:13:22,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:13:22,stdout,

2026/09/09 12:13:21,stdout,  run `npm fund` for details

2026/09/09 12:13:21,stdout,20 packages are looking for funding

2026/09/09 12:13:21,stdout,

2026/09/09 12:13:21,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 12:13:21,stdout,

2026/09/09 12:11:38,stderr,    at Function.process_params (/app/node_modules/express/lib/router/index.js:346:12)

2026/09/09 12:11:38,stderr,    at /app/node_modules/express/lib/router/index.js:284:15

2026/09/09 12:11:38,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 12:11:38,stderr,    at Route.dispatch (/app/node_modules/express/lib/router/route.js:119:3)

2026/09/09 12:11:38,stderr,    at next (/app/node_modules/express/lib/router/route.js:149:13)

2026/09/09 12:11:38,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 12:11:38,stderr,    at /app/server.js:192:23

2026/09/09 12:11:38,stderr,    at sendTextCommandAsync (/app/server.js:91:12)

2026/09/09 12:11:38,stderr,    at new Promise (<anonymous>)

2026/09/09 12:11:38,stderr,    at /app/server.js:92:15

2026/09/09 12:11:38,stderr,Execution error for command [voiceCmd] on device [G090XG07939306XF]: TypeError: alexa.sendTextCommand is not a function

2026/09/09 12:11:38,stdout,Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'Turn on the office ceiling' }

2026/09/09 12:10:43,stderr,    at Function.process_params (/app/node_modules/express/lib/router/index.js:346:12)

2026/09/09 12:10:43,stderr,    at /app/node_modules/express/lib/router/index.js:284:15

2026/09/09 12:10:43,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 12:10:43,stderr,    at Route.dispatch (/app/node_modules/express/lib/router/route.js:119:3)

2026/09/09 12:10:43,stderr,    at next (/app/node_modules/express/lib/router/route.js:149:13)

2026/09/09 12:10:43,stderr,    at Layer.handle [as handle_request] (/app/node_modules/express/lib/router/layer.js:95:5)

2026/09/09 12:10:43,stderr,    at /app/server.js:192:23

2026/09/09 12:10:43,stderr,    at sendTextCommandAsync (/app/server.js:91:12)

2026/09/09 12:10:43,stderr,    at new Promise (<anonymous>)

2026/09/09 12:10:43,stderr,    at /app/server.js:92:15

2026/09/09 12:10:43,stderr,Execution error for command [voiceCmd] on device [G090XG07939306XF]: TypeError: alexa.sendTextCommand is not a function

2026/09/09 12:10:43,stdout,Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'turn on the office ceiling' }

2026/09/09 12:10:29,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:10:27,stdout,New Amazon session cookie captured successfully via proxy!

2026/09/09 12:09:39,stdout,================================================================

2026/09/09 12:09:39,stdout,Amazon Auth Proxy Listening on Port: 8094

2026/09/09 12:09:39,stdout,REST API Listening on Port: 8093

2026/09/09 12:09:39,stdout,Echos Speak Advanced API Bridge (v1.1.0) Running

2026/09/09 12:09:39,stdout,================================================================

2026/09/09 12:09:39,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 12:09:39,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 12:09:39,stdout,Initializing Alexa Remote connection...

2026/09/09 12:09:38,stdout,Run `npm audit` for details.

2026/09/09 12:09:38,stdout,

2026/09/09 12:09:38,stdout,  npm audit fix --force

2026/09/09 12:09:38,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 12:09:38,stdout,

2026/09/09 12:09:38,stdout,  npm audit fix

2026/09/09 12:09:38,stdout,"To address issues that do not require attention, run:
"
2026/09/09 12:09:38,stdout,

2026/09/09 12:09:38,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 12:09:38,stdout,

2026/09/09 12:09:38,stdout,  run `npm fund` for details

2026/09/09 12:09:38,stdout,20 packages are looking for funding

2026/09/09 12:09:38,stdout,

2026/09/09 12:09:38,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 12:09:38,stdout,

2026/09/09 12:04:26,stdout,Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'turn on the office ceiling' }

2026/09/09 12:01:11,stdout,"Executing [voiceCmd] for device [G090XG07939306XF]: { command: 'Alexa, What Time Is it?' }
"
2026/09/09 12:00:04,stdout,Alexa Remote successfully authenticated via existing cookie!

2026/09/09 12:00:02,stdout,New Amazon cookie captured successfully via proxy!

2026/09/09 11:56:34,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:56:34,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:56:34,stdout,Open browser to http://192.168.1.12:8094 to authenticate.

2026/09/09 11:56:34,stderr,Alexa Remote initialization failed or cookie expired: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:56:34,stdout,Initializing Alexa Remote connection...

2026/09/09 11:56:34,stdout,Run `npm audit` for details.

2026/09/09 11:56:34,stdout,

2026/09/09 11:56:34,stdout,  npm audit fix --force

2026/09/09 11:56:34,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:56:34,stdout,

2026/09/09 11:56:34,stdout,  npm audit fix

2026/09/09 11:56:34,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:56:34,stdout,

2026/09/09 11:56:34,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:56:34,stdout,

2026/09/09 11:56:34,stdout,  run `npm fund` for details

2026/09/09 11:56:34,stdout,20 packages are looking for funding

2026/09/09 11:56:34,stdout,

2026/09/09 11:56:34,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 11:56:34,stdout,

2026/09/09 11:49:53,stdout,Alexa Remote successfully authenticated and connected!

2026/09/09 11:49:25,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:49:25,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:49:25,stderr,Alexa Remote initialization error: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:49:25,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:49:25,stdout,Initializing Alexa Remote connection...

2026/09/09 11:49:25,stdout,Run `npm audit` for details.

2026/09/09 11:49:25,stdout,

2026/09/09 11:49:25,stdout,  npm audit fix --force

2026/09/09 11:49:25,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:49:25,stdout,

2026/09/09 11:49:25,stdout,  npm audit fix

2026/09/09 11:49:25,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:49:25,stdout,

2026/09/09 11:49:25,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:49:25,stdout,

2026/09/09 11:49:25,stdout,  run `npm fund` for details

2026/09/09 11:49:25,stdout,20 packages are looking for funding

2026/09/09 11:49:25,stdout,

2026/09/09 11:49:25,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 11:49:25,stdout,

2026/09/09 11:46:56,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:46:56,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:46:56,stderr,Alexa Remote initialization error: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:46:56,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:46:56,stdout,Initializing Alexa Remote connection...

2026/09/09 11:46:56,stdout,Run `npm audit` for details.

2026/09/09 11:46:56,stdout,

2026/09/09 11:46:56,stdout,  npm audit fix --force

2026/09/09 11:46:56,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:46:56,stdout,

2026/09/09 11:46:56,stdout,  npm audit fix

2026/09/09 11:46:56,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:46:56,stdout,

2026/09/09 11:46:56,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:46:56,stdout,

2026/09/09 11:46:56,stdout,  run `npm fund` for details

2026/09/09 11:46:56,stdout,20 packages are looking for funding

2026/09/09 11:46:56,stdout,

2026/09/09 11:46:56,stdout,"up to date, audited 108 packages in 1s
"
2026/09/09 11:46:56,stdout,

2026/09/09 11:45:27,stderr,Alexa Remote initialization error: Error while checking Authentication: Error: getaddrinfo ENOTFOUND pitangus.amazon.com

2026/09/09 11:45:27,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:44:51,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:44:51,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:44:51,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:44:51,stderr,Alexa Remote initialization error: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:44:51,stdout,Initializing Alexa Remote connection...

2026/09/09 11:44:51,stdout,Run `npm audit` for details.

2026/09/09 11:44:51,stdout,

2026/09/09 11:44:51,stdout,  npm audit fix --force

2026/09/09 11:44:51,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:44:51,stdout,

2026/09/09 11:44:51,stdout,  npm audit fix

2026/09/09 11:44:51,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:44:51,stdout,

2026/09/09 11:44:51,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:44:51,stdout,

2026/09/09 11:44:51,stdout,  run `npm fund` for details

2026/09/09 11:44:51,stdout,20 packages are looking for funding

2026/09/09 11:44:51,stdout,

2026/09/09 11:44:51,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 11:44:51,stdout,

2026/09/09 11:41:47,stdout,Alexa Remote successfully authenticated and connected!

2026/09/09 11:41:25,stderr,Alexa Remote initialization error: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:41:25,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:41:25,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:41:25,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:41:25,stdout,Initializing Alexa Remote connection...

2026/09/09 11:41:25,stdout,Run `npm audit` for details.

2026/09/09 11:41:25,stdout,

2026/09/09 11:41:25,stdout,  npm audit fix --force

2026/09/09 11:41:25,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:41:25,stdout,

2026/09/09 11:41:25,stdout,  npm audit fix

2026/09/09 11:41:25,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:41:25,stdout,

2026/09/09 11:41:25,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:41:25,stdout,

2026/09/09 11:41:25,stdout,  run `npm fund` for details

2026/09/09 11:41:25,stdout,20 packages are looking for funding

2026/09/09 11:41:25,stdout,

2026/09/09 11:41:25,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 11:41:25,stdout,

2026/09/09 11:37:53,stdout,Alexa Remote successfully authenticated and connected!

2026/09/09 11:36:22,stdout,Amazon Auth Proxy listening on port 8094

2026/09/09 11:36:22,stdout,Echos Speak Advanced API Bridge listening on port 8093

2026/09/09 11:36:22,stdout,Re-authentication required. Open browser to http://192.168.1.12:8094

2026/09/09 11:36:22,stderr,Alexa Remote initialization error: You can try to get the cookie manually by opening http://192.168.1.12:8094/ with your browser.

2026/09/09 11:36:22,stdout,Initializing Alexa Remote connection...

2026/09/09 11:36:20,stdout,Run `npm audit` for details.

2026/09/09 11:36:20,stdout,

2026/09/09 11:36:20,stdout,  npm audit fix --force

2026/09/09 11:36:20,stdout,"To address all issues (including breaking changes), run:
"
2026/09/09 11:36:20,stdout,

2026/09/09 11:36:20,stdout,  npm audit fix

2026/09/09 11:36:20,stdout,"To address issues that do not require attention, run:
"
2026/09/09 11:36:20,stdout,

2026/09/09 11:36:20,stdout,"6 vulnerabilities (2 low, 4 moderate)
"
2026/09/09 11:36:20,stdout,

2026/09/09 11:36:20,stdout,  run `npm fund` for details

2026/09/09 11:36:20,stdout,20 packages are looking for funding

2026/09/09 11:36:20,stdout,

2026/09/09 11:36:20,stdout,"up to date, audited 108 packages in 2s
"
2026/09/09 11:36:20,stdout,

2026/09/09 11:31:47,stdout,[Bridge] Executing command 'speak' for device 'G090XG07939306XF' with payload: { text: 'Trying the Right' }

